ARCH9014	(6G)	COMPEXMAJ	702396	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARCH9015	(1-12G)	DISS1	702397	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARCH9016	(1-12G)	DISS2	702398	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARCH9017	(3G)	ARCH HIST SUR	702401	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARCH9091	(1-12G)	FIELDRES1	702399	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARCH9092	(3-12G)	FIELDRES2	702400	SE	TBA	CI	Elleh, N.	05/09/2016 - 08/06/2016
ARTH8010	(4G)	GRAD MUSEUM INTERN	702569	SP	TBA	IN	Paice, K.	05/09/2016 - 08/06/2016
ATH2080	(2-3)	PHARM HLTH ED PROF	703169	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
AVTN2021	(2)	PILOT FLIGHT I	702171	OT	TBA	CI	Jurgens, P.	05/09/2016 - 08/06/2016
AVTN2022	(2)	PILOT FLIGHT II	702172	OT	TBA	CI	Jurgens, P.	05/09/2016 - 08/06/2016
AVTN3021	(2)	COMM FLIGHT I	702173	OT	TBA	CI	Radtke, E.	05/09/2016 - 08/06/2016
AVTN3022	(2)	COMM FLIGHT II	702175	OT	TBA	CI	Radtke, E.	05/09/2016 - 08/06/2016
AVTN3023	(2)	COMM FLIGHT III	702176	OT	TBA	CI	Radtke, E.	05/09/2016 - 08/06/2016
BA1050	(3)	SOCIAL MEDIA	703167	OT	TBA	WB	Curran, A.	05/09/2016 - 08/06/2016
